,OriginalTweet,Sentiment,text_clean,text_len,token_lens
630,"Shelf isolation... When you're the only item left in the supermarket. 
#coronavirus #Covid_19 #covid19 https://t.co/K3BbdIHJnV",Negative,shelf isolation when youre the only item left in the supermarket coronavirus covid19 covid19,14,22
631,"@MaddowBlog You know, we've got a lot of empty supermarket buildings, closed up malls, and other vacant buildings a such in this country. Why not appropriate these spaces for possible quarantine sites, Covid-19 testing centers, or emergency response HQ's.",Negative,you know weve got a lot of empty supermarket buildings closed up malls and other vacant buildings a such in this country why not appropriate these spaces for possible quarantine sites covid19 testing centers or emergency response hqs,38,46
632,"Interesting scene at the grocery store last night. Two thoughts:
- Fear makes monkeys of us all;
- Just-in-time inventory doesnt deal well with demand or supply shocks #coronavirus #canada https://t.co/j6saFLtOzA",Negative,interesting scene at the grocery store last night two thoughts fear makes monkeys of us all justintime inventory doesnt deal well with demand or supply shocks coronavirus canada,28,33
633,First time seeing a line outside Gus s Community Market in Mission Bay Elected leaders say there is enough food stores will be restocked please do NOT panic,Extremely Positive,first time seeing a line outside gus s community market in mission bay elected leaders say there is enough food stores will be restocked please do not panic,28,32
634,@HyVee any plans to reconsider or postpone the closing of your fulfillment centers due to the current high demand for online shopping? I have not been able to choose a pick up date for 2 days. #Coronavirus,Negative,any plans to reconsider or postpone the closing of your fulfillment centers due to the current high demand for online shopping i have not been able to choose a pick up date for 2 days coronavirus,36,42
635,"Wow, even expensive meat is gone. Supermarket packed. Disifectant is all gone. #Covid_19 https://t.co/6SBJS852GN",Positive,wow even expensive meat is gone supermarket packed disifectant is all gone covid19,13,20
636,Calling ALL Caribbean s it s time we ask for support from our home countries There are essential things we need in these times of panic buying during this Corona Virus Pandemic watch the video    ,Negative,calling all caribbean s it s time we ask for support from our home countries there are essential things we need in these times of panic buying during this corona virus pandemic watch the video,35,39
637,"In the (what is hopefully) pinnacle of the panic and bulk buying and seeing the otherwise consumer ridiculousness amidst #Covid_19, I can now see the merits in government rationing.",Neutral,in the what is hopefully pinnacle of the panic and bulk buying and seeing the otherwise consumer ridiculousness amidst covid19 i can now see the merits in government rationing,29,35
638,Toilet roll prices have sky rocketed or currently unavailable because of the Corona virus #Covid_19 #panicbuying ?? https://t.co/wkg4cHKMqQ,Neutral,toilet roll prices have sky rocketed or currently unavailable because of the corona virus covid19 panicbuying,16,23
639,"fuck coronavirus

who has a bill coming up that theyre not sure theyre gonna be able to pay

send me your bill and your venmo",Extremely Negative,fuck coronavirus who has a bill coming up that theyre not sure theyre gonna be able to pay send me your bill and your venmo,25,32
640,"Everyone is helping love ones ensuring theyre safe from Covid-19, but please dont forget those people in our world who dont have anyone to help them to get the basic essentials from the grocery store. If you see an elderly person or anyone who needs help, help them ??#Covid_19",Extremely Positive,everyone is helping love ones ensuring theyre safe from covid19 but please dont forget those people in our world who dont have anyone to help them to get the basic essentials from the grocery store if you see an elderly person or anyone who needs help help them covid19,49,59
641,"""Donald Trump reportedly tried to poach German scientists working on a cure for the coronavirus so he could secure exclusive rights to a potential vaccine for the US only."" #Coronavirus 

To trump, a human life exists solely as a consumer or his pawn.

https://t.co/hdgF5e6OFt",Positive,donald trump reportedly tried to poach german scientists working on acure for the coronavirusso he could secure exclusive rights to a potential vaccine for the us only coronavirus to trump a human life exists solely as a consumer or his pawn,41,48
642,2/ I couldn't even hold a basket in the grocery store without my arm muscles burning. I refused to cook for my family and kept my distance. I think #Covid_19 has been in the US for a long time disguised as the flu. What a well designed disease! #coronavirus,Negative,2 i couldnt even hold a basket in the grocery store without my arm muscles burning i refused to cook for my family and kept my distance i think covid19 has been in the us for a long time disguised as the flu what a well designed disease coronavirus,49,55
643,"Well this should be an interesting day, have Cardiologist appointment at 1:15 PM then I get to brave Publix Supermarket for some groceries, wish this old fart luck! ?#LifeInTheTimeOfCovid19 #Covid_19 #PandemicPanic #WhatMeWorry?",Extremely Positive,well this should be an interesting day have cardiologist appointment at 115 pm then i get to brave publix supermarket for some groceries wish this old fart luck lifeinthetimeofcovid19 covid19 pandemicpanic whatmeworry,32,55
644,"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc",Positive,best quality couches at unbelievably low prices available to order we are in boksburg gp for more info whatsapp 084 764 8086 supertuesdsy powertalk covid19 sayentrepreneur djsbu,27,54
645,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative,airsewa is not providing webchecin customers free seats passengers are forced to choose paid seats as free seats are made available only at airport counter this should be stopped as its discriminatory and against travellers rights,36,44
646,Can we get a tax break or a Medal of Freedom for the grocery store employees this year? #coronavirus,Extremely Positive,can we get a tax break or a medal of freedom for the grocery store employees this year coronavirus,19,22
647,"This panic shop by consumers due the coronavirus (Covid-19) shouldnt end with just shopping for food, hand sanitizers &amp; toilet paper.

Consumers I recommend should also Shop For Life Insurance As Well. Providing yourself with the Financial Ammunition needed to Fight Monetarily.",Positive,this panic shop by consumers due the coronavirus covid19 shouldnt end with just shopping for food hand sanitizers amp toilet paper consumers i recommend should also shop for life insurance as well providing yourself with the financial ammunition needed to fight monetarily,42,52
648,"Time for a global pause button while we wait this thing out.

- no stock trading globally
- only essential services (food delivery, infra maintenance) done by people who are continually tested for COVID-19 and get hazard pay and health care guarantees
- ubiquitous testing, weekly",Positive,time for a global pause button while we wait this thing out no stock trading globally only essential services food delivery infra maintenance done by people who are continually tested for covid19 and get hazard pay and health care guarantees ubiquitous testing weekly,43,48
649,Local food banks are bracing for increased demand thanks to COVID-19 https://t.co/mKqTLavQtB https://t.co/f0k2AAH5tm,Positive,local food banks are bracing for increased demand thanks to covid19,11,15
650,"I have lung disease and take immunosuppressants for my Crohns. If I catch Covid-19 I'm screwed. So, tbh, the person who made a comment towards me in the supermarket, just because I quite rightly wore a mask, can jog on quite frankly. #Covid_19",Negative,i have lung disease and take immunosuppressants for my crohns if i catch covid19 im screwed so tbh the person who made a comment towards me in the supermarket just because i quite rightly wore a mask can jog on quite frankly covid19,43,59
651,"Wala, nakita ko lang :)

Republic Act 7394 - THE CONSUMER ACT OF THE PHILIPPINES 
TITLE III.  PROTECTION AGAINST DECEPTIVE, UNFAIR ANDUNCONSCIONABLE SALES ACTS OR PRACTICES

#Covid_19  #CoronavirusPandemic https://t.co/kkD33w5ocO",Negative,wala nakita ko lang republic act 7394 the consumer act of the philippines title iii protection against deceptive unfair andunconscionable sales acts or practices covid19 coronaviruspandemic,26,44
652,"Went to the supermarket today. No fresh veg, bread or meat. Managed to buy dog food, wine and Häagen Dazs Salted Caramel ice cream though, so all is well. #COVID?19 #Covid_19 #coronavirus #coronavirusEspana https://t.co/nRnfAzHbp8",Positive,went to the supermarket today no fresh veg bread or meat managed to buy dog food wine and hagen dazs salted caramel ice cream though so all is well covid19 covid19 coronavirus coronavirusespana,33,49
653,"I went to the grocery store today just to get my normal groceries and people were crawling over each other, yelling at each other, and being overall extremely rude to the staff, all due to #Covid_19. If this is what we can expect going forward, Im going to root for the virus.",Negative,i went to the grocery store today just to get my normal groceries and people were crawling over each other yelling at each other and being overall extremely rude to the staff all due to covid19 if this is what we can expect going forward im going to root for the virus,52,56
654,"Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the five island trip they just booked on Spirit for $130. @KHJ_Esq
 And iGens are hoping schools extend spring break  #youthministry #coronavirus https://t.co/9KgBpW6PnO",Positive,coronavirus got boomers stocking their doomsday bunkers meanwhile millennials are online shopping for bathing suits for the five island trip they just booked on spirit for 130 and igens are hoping schools extend spring break youthministry coronavirus,37,51
655,More Grocery Store Adventures: This is (or was) the household cleaner section. Completely gone. #coronapocalypse #coronavirus #CoronavirusOutbreak #panicbuying https://t.co/EN2qoWlyQO,Positive,more grocery store adventures this is or was the household cleaner section completely gone coronapocalypse coronavirus coronavirusoutbreak panicbuying,18,30
656,Are there any plans to allow SNAP recipients to receive benefits early in order to purchase food to stock up in advance of any potential quarantines? #COVID19 #Coronavirus  @GovAndyBeshear @USDA,Positive,are there any plans to allow snap recipients to receive benefits early in order to purchase food to stock up in advance of any potential quarantines covid19 coronavirus,28,36
657,"Gas prices the lowest they've been in YEARS.

Plot twist: everything you wanted to do has been canceled and/or you're not allowed to go. 

#Covid_19 #WashYourHandsTilTheyreClean #CauseTheyreDirty",Negative,gas prices the lowest theyve been in years plot twist everything you wanted to do has been canceled andor youre not allowed to go covid19 washyourhandstiltheyreclean causetheyredirty,27,48
658,"The new norm? My day at the supermarket included: wait to get in, no meat, no beans, no paper anything (toilet paper, napkins), no canned beans...20 min wait to check out. #coronapocalypse #panicbuying #Covid_19 https://t.co/uDUMrdoYP9",Extremely Negative,the new norm my day at the supermarket included wait to get in no meat no beans no paper anything toilet paper napkins no canned beans20 min wait to check out coronapocalypse panicbuying covid19,34,46
659,Thank God we live in In worst days we still had shelves full of food and supplies with prices lower than usual We never had panic buying No western individualism here Maybe it s about trusting your government,Positive,thank god we live in in worst days we still had shelves full of food and supplies with prices lower than usual we never had panic buying no western individualism here maybe it s about trusting your government,38,41
660,"Mean reversion is not a law, its a tendency. What are business or consumer behaviors that may inflect permanently due to COVID-19? Ex. Remote work, house hunting online, cord cutting. Explain your reasoning. Please RT so we get more answers.",Positive,mean reversion is not a law its a tendency what are business or consumer behaviors that may inflect permanently due to covid19 ex remote work house hunting online cord cutting explain your reasoning please rt so we get more answers,40,48
661,"email I just got from my grocery store:
#coronavirus

We Appreciate Your Understanding

and we're here to help you navigate the COVID-19 situation. When shopping in-store or online, we are placing limits on purchase quantities to two (2) each per customer/family for water,",Extremely Positive,email i just got from my grocery store coronavirus we appreciate your understanding and were here to help you navigate the covid19 situation when shopping instore or online we are placing limits on purchase quantities to two 2 each per customerfamily for water,43,52
662,On the plus side fuel prices have dropped.#CoronavirusPandemic #coronavirus #Covid_19 #CoronaVirusUpdate,Neutral,on the plus side fuel prices have droppedcoronaviruspandemic coronavirus covid19 coronavirusupdate,11,25
663,Traders are making a kill from the scare Prices for detergents sanitizers and masks have more than tripled and nobody seems to care Naye ultimately let s stock up on food as the crisis looms Let s not be the usual last minute doers,Extremely Negative,traders are making a kill from the scare prices for detergents sanitizers and masks have more than tripled and nobody seems to care naye ultimately let s stock up on food as the crisis looms let s not be the usual last minute doers,44,54
664,"In the Mid-Ohio Valley, the daily life of the community has shifted. Families have flocked to grocery stores to stock up on food, businesses have updated their sick leave and work from home policies, public events have been canceled, visitation to care f https://t.co/y1ZTCo2HCW https://t.co/Yw8fZ7fR1o",Negative,in the midohio valley the daily life of the community has shifted families have flocked to grocery stores to stock up on food businesses have updated their sick leave and work from home policies public events have been canceled visitation to care f,43,48
665,"Irony of everybody panic buying,  everybody is wedged into a supermarket #Covid_19",Negative,irony of everybody panic buying everybody is wedged into a supermarket covid19,12,17
666,"2020 so far
~Climate &amp; ecological breakdown 
~Minorities, youth are attacked by the government
~COVID 19 
~Rich hoard food and necessary supply 
~Healthcare denied 
~ stock market falls 
It feels like we're living in a dystopian novel",Positive,2020 so far climate amp ecological breakdown minorities youth are attacked by the government covid 19 rich hoard food and necessary supply healthcare denied stock market falls it feels like were living in a dystopian novel,36,43
667,"Food banks have been running out of basics because of COVID-19 panic buying. And if there's long periods of isolation in the UK, it's likely more people will need to rely on food parcels. Help if you can ?  https://t.co/Uvrh6QOW5O",Negative,food banks have been running out of basics because of covid19 panic buying and if theres long periods of isolation in the uk its likely more people will need to rely on food parcels help if you can,38,43
668,While you're out there buying up all the Walmart &amp; grocery store inventory. Consider buying a UV light... Google that ?#FeatureFriday #CoronaOutbreak #Covid_19 https://t.co/Jwv9IDlqMw,Neutral,while youre out there buying up all the walmart amp grocery store inventory consider buying a uv light google that featurefriday coronaoutbreak covid19,23,33
669,Please RT Check on your elderly friends amp neighbors many of them are on a fixed income and can t afford to stock up on food tp They can t have groceries delivered but should be avoiding crowds Reach out amp offer a hand,Extremely Positive,please rt check on your elderly friends amp neighbors many of them are on a fixed income and can t afford to stock up on food tp they can t have groceries delivered but should be avoiding crowds reach out amp offer a hand,44,47
670,Me after selling 2 hand sanitizers in double prices which i bought 2 months ago,Positive,me after selling 2 hand sanitizers in double prices which i bought 2 months ago,15,19
671,Headed into the grocery store. Wish me luck #COVID2019,Extremely Positive,headed into the grocery store wish me luck covid2019,9,14
672,"Wholesale and supermarket owners in Jamaica rn:
#CoronaOutbreak #Covid_19 #Jamaica https://t.co/ZCVoABAP7j",Neutral,wholesale and supermarket owners in jamaica rn coronaoutbreak covid19 jamaica,10,16
673,Note: not every scumbag parasite profiteering from #Covid_19 has a pickup truck full of #toiletpaper. Some like @loblawco do it right in the store -- after cashing $12Million handouts from Canadian government #cdnpoli @ShopprsDrugMart #CoronaVirusCanada https://t.co/fWf9GqGAE2,Extremely Positive,note not every scumbag parasite profiteering from covid19 has a pickup truck full of toiletpaper some like do it right in the store after cashing 12million handouts from canadian government cdnpoli coronaviruscanada,32,49
674,Grocery retailers saw demand up by 30-40 % more than usual as consumers in major metros are stocking up on daily essentials &amp; food items amidst the #Coronavirus outbreak. @PriyaSheth7 gets the details. https://t.co/dCxsyoLNt2,Negative,grocery retailers saw demand up by 3040 more than usual as consumers in major metros are stocking up on daily essentials amp food items amidst the coronavirus outbreak gets the details,31,38
675,Regina Food Bank anticipating more demand and use but less supply and donations because of COVID-19 https://t.co/S32HMGcYEr,Negative,regina food bank anticipating more demand and use but less supply and donations because of covid19,16,20
676,Coronavirus Tip: Most grocery stores have online shopping with curbside pickups. Some even offer at home delivery. Reduce contact by using these resources and help older relatives use them as well! #coronavirus,Positive,coronavirus tip most grocery stores have online shopping with curbside pickups some even offer at home delivery reduce contact by using these resources and help older relatives use them as well coronavirus,32,38
677,"The Retail Council of Canada said the current high demand for food, toilet paper and other staples is understandable as the number of positive cases continues to climb, it urged Canadians not to succumb to panic. https://t.co/s32NzXL76T",Neutral,the retail council of canada said the current high demand for food toilet paper and other staples is understandable as the number of positive cases continues to climb it urged canadians not to succumb to panic,36,41
678,"For those in the Northern and Southern Parishes of our LPSC District 2, due to the COVID-19 development, our LPSC offices monthly visits to Jackson and Houma have been canceled for March.  We will be available over the phone for any consumer issues yall need assistance with.",Neutral,for those in the northern and southern parishes of our lpsc district 2 due to the covid19 development our lpsc offices monthly visits to jackson and houma have been canceled for marchwe will be available over the phone for any consumer issues yall need assistance with,46,55
679,"If people who don't have food allergies could NOT panic buy allergy friendly food for their stock piles, then that would be great
As someone who is very allergic to gluten it's worrying to see gluten-free cupboard items are out of stock (which never happens) already now #Covid_19",Extremely Positive,if people who dont have food allergies could not panic buy allergy friendly food for their stock piles then that would be great as someone who is very allergic to gluten its worrying to see glutenfree cupboard items are out of stock which never happens already now covid19,48,61
680,"It's really bad when supermarket chain #Colruyt and #hamsteren  (hoarding) are 2 of the top 5 trending tags over here ??
(the others being Belgium, local legend Walter Grootaerts who got Covid and obviously #Covid_19 itself.
We're really entering yikes territory.?",Negative,its really bad when supermarket chain colruyt and hamsteren hoarding are 2 of the top 5 trending tags over here the others being belgium local legend walter grootaerts who got covid and obviously covid19 itself were really entering yikes territory,40,55
681,"I am a caregiver to my 81-year-old mom &amp; spend a lot of my time alleviating her fears on COVID-19 that are not based on fact. @WHO has a webpage about ""COVID-19 Myth busters. It offers consumer-friendly graphics that are easy to share with older adults. https://t.co/wM4b5aGhOs https://t.co/Ge4RgtKF8v",Extremely Positive,i am a caregiver to my 81yearold mom amp spend a lot of my time alleviating her fears on covid19 that are not based on fact has a webpage about covid19 myth busters it offers consumerfriendly graphics that are easy to share with older adults,45,62
682,"FAKE #coronavirus test kits siezed!
Lowlife scum opportunists trying to cash in?

The American public should be aware of bogus home testing kits for sale either online or in informal direct to consumer settings, 
~CBP
https://t.co/lESjdx5qvS",Extremely Negative,fake coronavirus test kits siezed lowlife scum opportunists trying to cash in the american public should be aware of bogus home testing kits for sale either online or in informal direct to consumer settings cbp,35,47
683,  We ve got several new stories out today at about COVID 19 and the food chain   Farmers markets fear shutdowns a local food co op responds to high demand officials assure that the country has plenty of food Read it all here no paywall,Negative,we ve got several new stories out today at about covid 19 and the food chain farmers markets fear shutdowns a local food co op responds to high demand officials assure that the country has plenty of food read it all here no paywall,44,50
684,JUST IN: Oil prices now down by over 6%,Neutral,just in oil prices now down by over 6,9,11
685,I and @ForestandPaper members are committed to the safety of our employees and our end-users. We are monitoring COVID-19. Rest assured that tissue manufacturers are continuing to produce and ship products.  https://t.co/qF6hclCAEq https://t.co/xyvbNsFeXA,Extremely Positive,i and members are committed to the safety of our employees and our endusers we are monitoring covid19 rest assured that tissue manufacturers are continuing to produce and ship products,30,36
686,Urgent Woolworths texted and has cancelled my online shopping order in FULL No food available,Negative,urgent woolworths texted and has cancelled my online shopping order in full no food available,15,19
687,Grocers limit food purchases urge shoppers not to hoard Kroger ramps up hiring to stock shelves from,Neutral,grocers limit food purchases urge shoppers not to hoard kroger ramps up hiring to stock shelves from,17,25
688,"Lineups at my small-town Ontario, Canada grocery store are insane tonight #Covid_19",Negative,lineups at my smalltown ontario canada grocery store are insane tonight covid19,12,18
689,Anyone else doing a lot of online shopping? ????? #coronavirus,Neutral,anyone else doing a lot of online shopping coronavirus,9,12
690,@offhandmanor1 @BeyondaBoundary @toddzwillich @jdesmondharris Flu shot would not prevent #coronavirus. And now is not a good time for old folks to visit doctor's offices or pharmacies. Social distancing &amp; online shopping is the safest bet.,Negative,flu shot would not prevent coronavirus and now is not a good time for old folks to visit doctors offices or pharmacies social distancing amp online shopping is the safest bet,31,39
691,"Only Turd ?££? Mentality would think of Herd ?????? Immunity ?. 
If we are all sick who looks after our most vulnerable?
Who will bury our dead?
Who will stock the shelves at food outlets?
Who will protect our borders and our streets? ???

Post Covid-19 ????",Extremely Negative,only turd mentality would think of herd immunity if we are all sick who looks after our most vulnerable who will bury our dead who will stock the shelves at food outlets who will protect our borders and our streets post covid19,42,48
692,"Noticing lots of unhealthy foods - meat, dairy, and processed junk - wiped out by #coronavirus hoarding histeria, but the tastiest and healthiest (whole food plant-based) foods are in stock! Yet another reason - in addition to optimizing ones health - to be #PlantBased ???",Positive,noticing lots of unhealthy foods meat dairy and processed junk wiped out by coronavirus hoarding histeria but the tastiest and healthiest whole food plantbased foods are in stock yet another reason in addition to optimizing ones health to be plantbased,40,58
693,"My dad gets the same thing at the grocery store every time he goes, whether hes run out of the item or not. The end result is that hes sitting on a goldmine of nonperishable food and toilet paper. 

The #coronavirus is our Jed Clampet moment, everyone.",Neutral,my dad gets the same thing at the grocery store every time he goes whether hes run out of the item or not the end result is that hes sitting on a goldmine of nonperishable food and toilet paper the coronavirus is our jed clampet moment everyone,47,58
694,"Corona virus got people going nuts at the grocery store...out of toilet paper? Out of batteries? Out of water? They must not know hood rules apply cuz first thing in the morning I'm taking all of these items from work and bringing them home ???
#HoodRules #Covid_19",Negative,corona virus got people going nuts at the grocery storeout of toilet paper out of batteries out of water they must not know hood rules apply cuz first thing in the morning im taking all of these items from work and bringing them home hoodrules covid19,46,54
695,"People that are panic buying are just falling into another world gone mad phases.

This weeks shopping food, I got one or two extra bits but not overboard like Im seeing online! ?? #Covid_19",Extremely Negative,people that are panic buying are just falling into another world gone mad phases this weeks shopping food i got one or two extra bits but not overboard like im seeing online covid19,33,37
696,"This is the advice from national US health experts for over 60's on avoiding #coronavirus

""CDC: Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

UK gov: wash your hands &amp; carry on

#Covid_19 

https://t.co/QKolJTOPdr",Negative,this is the advice from national us health experts for over 60s on avoiding coronavirus cdc americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads uk gov wash your hands amp carry on covid19,43,50
697,"If this supermarket frenzy continues, I may go upto Tom Delahunts fields and pick a few spuds. #Covid_19",Negative,if this supermarket frenzy continues i may go upto tom delahunts fields and pick a few spuds covid19,18,27
698,"I have never seen anything like this #coronavirus?The grocery store was crazy last night! No toilet paper,hand sanitizer,or disinfection wipes!We have tickets for 2 concerts next month. Hope theyre not canceled?Praying this passes quickly &amp; for anyone effected. ?????????",Negative,i have never seen anything like this coronavirusthe grocery store was crazy last night no toilet paperhand sanitizeror disinfection wipeswe have tickets for 2 concerts next month hope theyre not canceledpraying this passes quickly amp for anyone effected,38,56
699,"Good evening. As mandated by the government, we will temporarily close JENRA Mall starting tomorrow, until further notice, due to COVID-19 Concern. However, supermarket, drugstores, banks, remittance services, and UG fast food restaurant are still required to operate. 

T.T",Positive,good evening as mandated by the government we will temporarily close jenra mall starting tomorrow until further notice due to covid19 concern however supermarket drugstores banks remittance services and ug fast food restaurant are still required to operate tt,39,49
700,@tracybeanz Feels like were willing to destroy the success engine of the nation (consumer-based economy) in direct contradiction to how weve handled similar national emergencies.  Were combating the virus by killing the patient (America). #insane #c,Negative,feels like were willing to destroy the success engine of the nation consumerbased economy in direct contradiction to how weve handled similar national emergencies were combating the virus by killing the patient america insane c,35,41
701,@BernardKerik @realDonaldTrump COVID 19 is doing what we described in our book using a consumer boycott. Our approach involved zero dead people. https://t.co/wtBrxdf4K6,Extremely Negative,covid 19 is doing what we described in our book using a consumer boycott our approach involved zero dead people,20,23
702,I work in a Homebase and in 7.5 hours served 743 people. Almost 100 people an hour. In a fucking DIY store. God love the grocery and pharmacy retail workers. #StayAtHome #coronavirus,Extremely Positive,i work in a homebase and in 75 hours served 743 people almost 100 people an hour in a fucking diy store god love the grocery and pharmacy retail workers stayathome coronavirus,32,40
703,"@ElbaKroop Wells Fargo is committed to helping customers experiencing hardships from COVID-19. If assistance is needed, customers can call 1-800-219-9739 to speak with a trained specialist about options available for their consumer lending, small business",Extremely Positive,wells fargo is committed to helping customers experiencing hardships from covid19 if assistance is needed customers can call 18002199739 to speak with a trained specialist about options available for their consumer lending small business,34,44
704,"These were the different prices of #BTC across leading market data providers during todays dump... (11 am GMT) ? @CryptoCompare = $6267.12 
@CoinMarketCap = $6431.74
@coingecko = $6536.95
@NomicsFinance = $6091.00

Aggregated price = $6331.70 ?
#data #Crypto #Covid_19",Negative,these were the different prices of btc across leading market data providers during todays dump 11 am gmt 626712 643174 653695 609100 aggregated price 633170 data crypto covid19,28,50
705,#Retail store closures in the US could explode because of #coronavirus https://t.co/CEdM7qOFSl,Neutral,retail store closures in the us could explode because of coronavirus,11,15
706,Missouri AG sues televangelist for advertising Silver Solution as a cure for coronavirus https://t.co/wUffral0NW https://t.co/Q5kAOjafCt,Positive,missouri ag sues televangelist for advertising silver solution as a cure for coronavirus,13,20
707,"While other european countries are under lockdown, here in Sweden life goes on Normal. I went out in Uppsala (approx 70km from Stockholm). Elderly people moving normally,  schools and businesses open, overcrowded grocery store, no one wearing mask. #Coronasverige #COVID2019",Negative,while other european countries are under lockdown here in sweden life goes on normal i went out in uppsala approx 70km from stockholm elderly people moving normally schools and businesses open overcrowded grocery store no one wearing mask coronasverige covid2019,40,52
708,"Wish People Had the Same Level of Panic and Concern About GMOs, the Industrial Food System, &amp; Manufactured Environmental Toxins #IJS ????? #COVID2019",Negative,wish people had the same level of panic and concern about gmos the industrial food system amp manufactured environmental toxins ijs covid2019,22,30
709,Let's see how long #Covid_19 survives Dublin rental prices,Neutral,lets see how long covid19 survives dublin rental prices,9,13
710,"Another day, another supermarket shelf cleared out of toilet paper. #Covid_19 #Coles #Wendouree https://t.co/11cmHOKTyZ",Positive,another day another supermarket shelf cleared out of toilet paper covid19 coles wendouree,13,20
711,The empty shelves of fruits-vegetables-breads-cereals in a @LidlBelgium store in #Leuven clearly depicts the rush and an urgency of people to self quarantine themselves to contain the spread of #Covid_19. Don't panic! @LidlBelgium is always there for your grocery support! ?? https://t.co/si0nkFAzh4,Positive,the empty shelves of fruitsvegetablesbreadscereals in a store in leuven clearly depicts the rush and an urgency of people to self quarantine themselves to contain the spread of covid19 dont panic is always there for your grocery support,38,55
712,"I find it fascinating the things people choose to hoard at the grocery store.  There was a Frito-Lay driver in front of me in line who stated he keeps running out of product. I have no problem buying beans, canned tuna, salmon, frozen fruit. #coronavirus",Negative,i find it fascinating the things people choose to hoard at the grocery store there was a fritolay driver in front of me in line who stated he keeps running out of product i have no problem buying beans canned tuna salmon frozen fruit coronavirus,45,51
713,Seriously was not concerned until I went to the grocery store.....so much for staying calm. #CoronavirusPandemic #Covid_19 https://t.co/E38viDg7X0,Positive,seriously was not concerned until i went to the grocery storeso much for staying calm coronaviruspandemic covid19,17,26
714,"While we are all #SocialDistancingNow because of the #coronavirus and doing all of our shopping online, why not take a look at https://t.co/wyhYb5SSUO and take advantage of 20% off with this sale until Mar 17? Use code: ARTSY20 at checkout. https://t.co/GO4MXUwMlo",Positive,while we are all socialdistancingnow because of the coronavirus and doing all of our shopping online why not take a look at and take advantage of 20 off with this sale until mar 17 use code artsy20 at checkout,39,49
715,@KrampusFu @JackHer18731941 @Twistagirl1958 @Willy52755060 @2tall2fall4it @TrumpSugar @misshellca @CunningMarshal @laylow88861429 @alshadowdancer @gorillastyle @ShlomoIndiana @shinobi_tony @yankeepirate247 @annableigh @donnnie @DigiVorr @SpaceForceBravo @,Neutral,,0,2
716,"With so much #SocialDistancing across the globe due to #coronavirus , the load on Social media like Twitter, Facebook , WhatsApp and online shopping is going to be high.",Positive,with so much socialdistancing across the globe due to coronavirus the load on social media like twitter facebook whatsapp and online shopping is going to be high,27,35
717,The stupid is strong with this one ?? https://t.co/rJQ7HDfBxl,Neutral,the stupid is strong with this one,7,9
718,"Even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans, especially part-time and low wage workers.

Once again, @realDonaldTrump is doing exactly the right thing.",Negative,even without the coronavirus suspension or elimination of the payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working americans especially parttime and low wage workers once again is doing exactly the right thing,38,46
719,"Beware of online offers for #vaccinations. The @FTC and @US_FDA have jointly issued warning letters to seven sellers of unapproved and misbranded products, claiming they can treat or prevent the #Coronavirus. 

Full blog post here: https://t.co/p9N3CpRMas https://t.co/U94EIQYVqF",Negative,beware of online offers for vaccinations the and have jointly issued warning letters to seven sellers of unapproved and misbranded products claiming they can treat or prevent the coronavirus full blog post here,33,44
720,"Imagine going shopping buying up loads of baby milk and then selling it online for 10x the price... Just imagine how much of an absolute cock you would have to be to even consider doing that ?

People are just vile... #coronavirus",Extremely Negative,imagine going shopping buying up loads of baby milk and then selling it online for 10x the price just imagine how much of an absolute cock you would have to be to even consider doing that people are just vile coronavirus,41,45
721,"Just out of interest my American friends, have gun and ammunition prices gone up in the US since the #Covid_19 crisis started?",Negative,just out of interest my american friends have gun and ammunition prices gone up in the us since the covid19 crisis started,22,26
722,Lucky to have a supermarket and liquor store with in walking distance these days and to not be living in 800 square feet anymore. Thanks @jmuncey @reedash #Covid_19 #SocialDistancing,Extremely Positive,lucky to have a supermarket and liquor store with in walking distance these days and to not be living in 800 square feet anymore thanks covid19 socialdistancing,27,34
723,"@Emma_L_Dargie @TheLastLeg Good advice. We need perspective &amp; practical action, not panic...or police &amp; security guards in the supermarket aisles!

Maybe #TomHanks contracting #CoronaVirus #COVID19, &amp; his response, will help others to stay",Extremely Positive,good advice we need perspective amp practical action not panicor police amp security guards in the supermarket aisles maybe tomhanks contracting coronavirus covid19 amp his response will help others to stay,31,39
724,"Out here feeling like Im a contestant in Supermarket Sweeps?

#coronavirus #coronapocalypse #COVID19 #COVID?19 #Covid_19",Positive,out here feeling like im a contestant in supermarket sweeps coronavirus coronapocalypse covid19 covid19 covid19,15,28
